ID_End,Estado,Sigla,Cidade,Bairro
1,Acre,AC,Cardoso Verde,Avenida Duarte
2,Acre,AC,Cardoso Verde,Viaduto de Porto
3,Acre,AC,Cardoso Verde,Quadra de Moreira
4,Acre,AC,Cardoso Verde,Feira de Cavalcanti
5,Acre,AC,Cardoso Verde,Setor Stella Oliveira
6,Acre,AC,Ribeiro,Condomínio Bryan Moreira
7,Acre,AC,Ribeiro,Condomínio Nogueira
8,Acre,AC,Ribeiro,Pátio de Melo
9,Acre,AC,Ribeiro,Trecho Pietro da Rosa
10,Acre,AC,Ribeiro,Alameda de Cardoso
11,Acre,AC,Martins,Chácara Luiz Otávio da Rosa
12,Acre,AC,Martins,Condomínio de Pires
13,Acre,AC,Martins,Fazenda João Felipe Cunha
14,Acre,AC,Martins,Pátio Sofia Jesus
15,Acre,AC,Martins,Feira Gustavo Pinto
16,Acre,AC,Martins de Oliveira,Parque Luiz Otávio Rodrigues
17,Acre,AC,Martins de Oliveira,Condomínio de da Paz
18,Acre,AC,Martins de Oliveira,Fazenda Nunes
19,Acre,AC,Martins de Oliveira,Avenida Cunha
20,Acre,AC,Martins de Oliveira,Esplanada de da Luz
21,Acre,AC,Araújo de Lima,Sítio Pedro Miguel Aragão
22,Acre,AC,Araújo de Lima,Lagoa André Moraes
23,Acre,AC,Araújo de Lima,Alameda de Nascimento
24,Acre,AC,Araújo de Lima,Largo Levi Cardoso
25,Acre,AC,Araújo de Lima,Viaduto de Oliveira
26,Acre,AC,Rezende,Avenida de Almeida
27,Acre,AC,Rezende,Loteamento Sabrina Correia
28,Acre,AC,Rezende,Loteamento de Vieira
29,Acre,AC,Rezende,Travessa de Cunha
30,Acre,AC,Rezende,Estação Lucca Jesus
31,Acre,AC,da Rocha,Núcleo de Correia
32,Acre,AC,da Rocha,Chácara da Rocha
33,Acre,AC,da Rocha,Sítio Pinto
34,Acre,AC,da Rocha,Travessa de Azevedo
35,Acre,AC,da Rocha,Sítio Bianca Moura
36,Acre,AC,da Mota,Largo Matheus Costela
37,Acre,AC,da Mota,Via Araújo
38,Acre,AC,da Mota,Viaduto Paulo Castro
39,Acre,AC,da Mota,Vale Silveira
40,Acre,AC,da Mota,Quadra de Jesus
41,Acre,AC,Nunes de da Costa,Trecho de Nogueira
